Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-1.12657634616443E-06,-0.0120586213354123,0.0464637399514405,0,0,0,0.725004971927433,0.00397015516610743,3.16527990957326E-09,2.7501749356732E-08,0.00509665824727541,-0.000112720343179442,0.00640051298538735,0,0,0,0,0,0,package://spiderV1/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://spiderV1/meshes/body.STL,,Dodecahedron_bodyV3-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
00,-3.39491982303403E-06,-3.39491982300627E-06,0.0634401392063371,0,0,0,0.111045661776905,9.83066790099248E-05,1.27985462202571E-12,-6.57477758498197E-09,9.82820252429534E-05,-6.57477758503417E-09,3.28395202168772E-05,0,0,0,0,0,0,package://spiderV1/meshes/00.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/00.STL,,frame-5,Origin_bodyto00,Axis1,bodyto00,revolute,0.12089,0.039279,0.0314,3.1416,-1.3821,0.31416,body,1,0,0,0,0,0,0,,,,,,,,
01,-1.31848044713778E-05,-1.31848044713639E-05,0.0862647647274989,0,0,0,0.142964243137377,0.000240310510603849,2.4852770915967E-11,-3.81981815966254E-08,0.000258360340545962,-3.81981815965665E-08,3.69209045828823E-05,0,0,0,0,0,0,package://spiderV1/meshes/01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/01.STL,,frame-9,Origin_00to01,Axis2,00to01,revolute,0,0,0.091,0,0,-1.5708,00,-1,0,0,0,0,0,0,,,,,,,,
02,-4.16333634234434E-17,-0.0630718737353475,0.0691609359333019,0,0,0,0.185903116212669,0.000687979499549438,3.55753837846806E-19,1.35525271560688E-20,0.000110362108727967,0.000137773891500956,0.000617794519777098,0,0,0,0,0,0,package://spiderV1/meshes/02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/02.STL,,frame-16,Origin_01to02,Axis3,01to02,revolute,0,0,0.131,0,0,0,01,-1,0,0,0,0,0,0,,,,,,,,
10,-3.39491982305484E-06,-3.39491982305484E-06,0.0634401392063371,0,0,0,0.111045661776905,9.83066790099247E-05,1.27985461990813E-12,-6.57477758498886E-09,9.82820252429533E-05,-6.57477758497319E-09,3.28395202168772E-05,0,0,0,0,0,0,package://spiderV1/meshes/10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/10.STL,,frame-2,Origin_bodyto10,Axis4,bodyto10,revolute,0.074713,-0.10283,0.0314,3.1416,-1.3821,-0.94248,body,1,0,0,0,0,0,0,,,,,,,,
11,-1.31889459462631E-05,-1.32008282054258E-05,0.0862647647244151,0,0,0,0.142964243137377,0.000240310510607527,2.93953983181004E-11,-3.81884344862817E-08,0.000258360340560135,-3.81570309857139E-08,3.69209045650321E-05,0,0,0,0,0,0,package://spiderV1/meshes/11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/11.STL,,frame-8,Origin_10to11,Axis5,10to11,revolute,0,0,0.091,0,0,-1.5708,10,-1,0,0,0,0,0,0,,,,,,,,
12,-1.91598807930404E-08,-0.0630718865846869,0.0691609242152382,0,0,0,0.185903116212669,0.000687979499549397,-1.51693224760628E-10,3.79723966300542E-11,0.000110362057534268,0.000137773797225564,0.000617794570970837,0,0,0,0,0,0,package://spiderV1/meshes/12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/12.STL,,frame-15,Origin_11to12,Axis6,11to12,revolute,0,0,0.131,0,0,0,11,-1,0,0,0,0,0,0,,,,,,,,
20,-3.39491982309648E-06,-3.39491982300627E-06,0.0634401392063371,0,0,0,0.111045661776905,9.83066790099249E-05,1.27985462668439E-12,-6.57477758497149E-09,9.82820252429534E-05,-6.57477758502062E-09,3.28395202168773E-05,0,0,0,0,0,0,package://spiderV1/meshes/20.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/20.STL,,frame-1,Origin_bodyto20,Axis7,bodyto20,revolute,-0.074714,-0.10283,0.0314,3.1416,-1.3821,-2.1991,body,1,0,0,0,0,0,0,,,,,,,,
21,-1.31889459501766E-05,-1.31687741158001E-05,0.0862647647293143,0,0,0,0.142964243137377,0.000240310510607527,2.93812082377152E-11,-3.81884344878233E-08,0.000258360340531748,-3.82393130107307E-08,3.69209045934193E-05,0,0,0,0,0,0,package://spiderV1/meshes/21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/21.STL,,frame-13,Origin_20to21,Axis8,20to21,revolute,0,0,0.091,0,0,-1.5708,20,-1,0,0,0,0,0,0,,,,,,,,
22,-1.91598834298201E-08,-0.0630718608860034,0.0691609476513601,0,0,0,0.185903116212669,0.000687979499549397,-1.51693212664997E-10,3.79724550685513E-11,0.000110362159921767,0.000137773985776294,0.000617794468583337,0,0,0,0,0,0,package://spiderV1/meshes/22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/22.STL,,frame-20,Origin_21to22,Axis9,21to22,revolute,0,0,0.131,0,0,0,21,-1,0,0,0,0,0,0,,,,,,,,
30,-3.3949198230826E-06,-3.39491982307566E-06,0.0634401392063371,0,0,0,0.111045661776905,9.83066790099248E-05,1.27985461651999E-12,-6.57477758496419E-09,9.82820252429533E-05,-6.57477758499097E-09,3.28395202168772E-05,0,0,0,0,0,0,package://spiderV1/meshes/30.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/30.STL,,frame-7,Origin_bodyto30,Axis10,bodyto30,revolute,-0.12089,0.039279,0.0314,3.1416,-1.3821,2.8274,body,1,0,0,0,0,0,0,,,,,,,,
31,-1.31848044713639E-05,-1.31848044712252E-05,0.0862647647274988,0,0,0,0.142964243137377,0.00024031051060385,2.48527709396839E-11,-3.8198181596705E-08,0.000258360340545963,-3.81981815969703E-08,3.69209045828824E-05,0,0,0,0,0,0,package://spiderV1/meshes/31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/31.STL,,frame-11,Origin_30to31,Axis11,30to31,revolute,0,0,0.091,0,0,-1.5708,30,-1,0,0,0,0,0,0,,,,,,,,
32,1.66533453693773E-16,-0.0630718737353471,0.0691609359333021,0,0,0,0.185903116212669,0.000687979499549438,8.06375365786094E-19,-2.43945488809238E-19,0.000110362108727968,0.000137773891500958,0.000617794519777097,0,0,0,0,0,0,package://spiderV1/meshes/32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spiderV1/meshes/32.STL,,frame-18,Origin_31to32,Axis12,31to32,revolute,0,0,0.131,0,0,0,31,-1,0,0,0,0,0,0,,,,,,,,
